8.441,83.305
8.675,45.273
9.273,79.541
9.441,19.62
9.468,11.805
10.042,92.565
17.133,83.654
18.068,78.922
19.084,79.721
19.706,46.654
20.158,92.787
20.352,56.272
21.676,66.49
24.067,21.757
24.801,46.042
26.335,44.436
27.573,19.466
28.708,45.433
28.815,64.071
33.127,83.062
33.586,58.851
35.606,12.598
35.714,32.193
35.889,79.891
40.088,93.23
40.754,47.814
41.087,49.817
43.123,50.214
43.309,15.226
43.761,12.248
45.172,46.803
47.234,39.585
48.94,37.176
49.377,58.618
49.796,34.97
51.185,26.15
55.157,56.402
55.217,38.567
55.29,17.124
56.56,93.118
59.022,77.434
64.375,41.554
65.057,90.852
66.091,36.34
66.432,75.335
67.735,51.968
68.165,84.035
70.59,10.365
75.438,83.416
75.774,74.321
75.941,35.319
82.946,22.479
84.441,61.392
84.87,76.307
85.222,11.736
86.996,47.916
87.79,45.118
88.898,9.921
88.937,47.845
89.044,26.427
89.063,70.964
92.387,62.623
95.45,8.343
96.74,71.187
